Id_AFAD,Year,Month,Day,Hour,Min,Sec,Ev_Lat,Ev_Lon,Ev_Depth,Ml,StdMl,Rms,Erh,Erz,Gap,Np,Ns,Ntot,CovX,CovY,CovZ,CovT
436936,2019,4,8,9,46,34.01,38.4515,39.0628,22.19,3.75,0.44,0.47,1.5,0.9,68,14,11,25,1.3,1,0.8,1.8
436958,2019,4,8,17,38,19.24,38.7635,38.1437,22.19,4.13,0.36,0.14,1.1,1,66,13,5,18,0.5,0.7,1.1,1.4
437010,2019,4,9,11,36,11.74,39.4692,40.484,14.42,3.42,0.3,0.23,1.1,0.8,82,18,14,32,0.4,0.8,0.7,1.1
437018,2019,4,9,13,25,24.54,39.9527,39.6442,13.63,3.27,0.34,0.27,1,1.1,81,15,12,27,0.3,0.8,1.2,1.4
437038,2019,4,9,17,18,4.18,38.1873,38.5667,12.69,3.23,0.14,0.25,1.4,0.8,85,13,11,24,1.2,0.8,0.6,1.6
437133,2019,4,10,21,2,37.16,36.659,36.098,4.03,3.86,0.28,0.3,0.8,1.6,48,26,15,41,0.3,0.3,2.7,2.7
437216,2019,4,12,4,55,35.92,38.758,38.1473,19.02,3.47,0.27,0.16,0.8,1.1,106,9,7,16,0.3,0.4,1.3,1.4
437223,2019,4,12,6,48,26.38,37.1848,35.577,22.98,3.76,0.25,0.38,0.9,1.4,44,25,10,35,0.4,0.5,1.9,2
437268,2019,4,13,0,18,28.53,36.6942,36.5877,7.17,2.51,0.16,0.26,1.1,1.7,110,17,11,28,0.8,0.4,2.9,3
437377,2019,4,14,22,44,27.06,38.4825,39.1452,25.85,3.26,0.25,0.28,2.1,0.9,68,12,9,21,3.2,1,0.9,3.5
437404,2019,4,15,4,41,28.63,38.7523,38.151,19.02,4.54,0.29,0.2,0.8,1.3,67,13,9,22,0.3,0.3,1.6,1.7
437500,2019,4,15,20,10,59.39,36.316,36.0557,7.94,2.98,0.25,0.36,2.9,2.2,204,12,11,23,3,5.4,4.7,7.7
437615,2019,4,17,0,9,28.24,39.5297,38.8877,25.43,3.46,0.29,0.43,1.3,0.9,63,18,16,34,0.7,1,0.8,1.5
437611,2019,4,17,1,45,52.3,38.7242,38.1262,23.97,3.84,0.32,0.18,1,0.9,93,12,8,20,0.4,0.5,0.7,1
437620,2019,4,17,5,22,29.19,36.9402,35.226,32.09,2.95,0.29,0.4,1.1,1.3,80,19,17,36,0.4,0.7,1.7,1.9
437694,2019,4,17,20,37,10.57,38.7945,38.1323,21.94,3.51,0.23,0.23,1.1,1.5,48,14,12,26,0.7,0.6,2.2,2.4
437763,2019,4,18,20,24,8.27,37.3817,36.3593,18.18,2.56,0.23,0.32,1.3,1.1,82,14,16,30,0.8,0.9,1.3,1.7
437767,2019,4,18,21,59,49.63,38.7298,38.1297,22.83,3.25,0.21,0.21,0.9,0.7,69,12,9,21,0.4,0.4,0.5,0.8
